cidade;preco;vencimento;moeda;cultura;fator_valorizacao
AAIL¶NDIA-MA;$17.26;30/05/2025;DOLAR US$;SOJA;1
SELECIONE A PRAA DESEJADA;$-;30/06/2025;DOLAR US$;SOJA;1
AGUA BOA-MT;$18.34;30/06/2025;DOLAR US$;SOJA;1
RONDONOPOLIS-MT;$19.04;30/06/2025;DOLAR US$;SOJA;1
CAMPO NOVO PARECIS-MT;$17.93;30/06/2025;DOLAR US$;SOJA;1
SORRISO-MT;$17.90;30/06/2025;DOLAR US$;SOJA;1
JUARA-MT;$17.79;30/06/2025;DOLAR US$;SOJA;1
BRASNORTE-MT;$17.81;30/06/2025;DOLAR US$;SOJA;1
SINOP-MT;$17.84;30/06/2025;DOLAR US$;SOJA;1
QUERENCIA-MT;$17.91;30/06/2025;DOLAR US$;SOJA;1
PRIMAVERA DO LESTE-MT;$18.75;30/06/2025;DOLAR US$;SOJA;1
NOVA MUTUM-MT;$18.16;30/06/2025;DOLAR US$;SOJA;1
CANARANA-MT;$17.67;30/06/2025;DOLAR US$;SOJA;1
SÇO GABRIEL-MT;$18.50;30/06/2025;DOLAR US$;SOJA;1
DOURADOS-MS;$18.96;30/06/2025;DOLAR US$;SOJA;1
CRUZ ALTA-RS;$20.23;30/06/2025;DOLAR US$;SOJA;1
SANTA MARIA-RS;$20.35;30/06/2025;DOLAR US$;SOJA;1
VILHENA-RO;$17.95;30/06/2025;DOLAR US$;SOJA;1
CAMPO MOURAO-PR;$19.53;30/06/2025;DOLAR US$;SOJA;1
CASCAVEL-PR;$20.35;30/06/2025;DOLAR US$;SOJA;1
LUIS EDUARDO MAGALHAES-BA;$18.11;30/06/2025;DOLAR US$;SOJA;1
BARREIRAS-BA;$18.11;30/06/2025;DOLAR US$;SOJA;1
PARAGOMINAS-PA;$17.88;30/06/2025;DOLAR US$;SOJA;1
TAIL¶NDIA-PA;$18.03;30/06/2025;DOLAR US$;SOJA;1
DOM ELISEU-PA;$17.64;30/06/2025;DOLAR US$;SOJA;1
RONDON DO PARµ-PA;$17.57;30/06/2025;DOLAR US$;SOJA;1
AAIL¶NDIA-MA;$17.41;30/06/2025;DOLAR US$;SOJA;1
SELECIONE A PRAA DESEJADA;$-;30/04/2026;DOLAR US$;SOJA;1
AGUA BOA-MT;$17.04;30/04/2026;DOLAR US$;SOJA;1
RONDONOPOLIS-MT;$17.65;30/04/2026;DOLAR US$;SOJA;1
CAMPO NOVO PARECIS-MT;$16.89;30/04/2026;DOLAR US$;SOJA;1
SORRISO-MT;$16.87;30/04/2026;DOLAR US$;SOJA;1
JUARA-MT;$16.64;30/04/2026;DOLAR US$;SOJA;1
BRASNORTE-MT;$16.66;30/04/2026;DOLAR US$;SOJA;1
SINOP-MT;$16.86;30/04/2026;DOLAR US$;SOJA;1
QUERENCIA-MT;$17.04;30/04/2026;DOLAR US$;SOJA;1
PRIMAVERA DO LESTE-MT;$17.50;30/04/2026;DOLAR US$;SOJA;1
NOVA MUTUM-MT;$17.12;30/04/2026;DOLAR US$;SOJA;1
CANARANA-MT;$16.89;30/04/2026;DOLAR US$;SOJA;1
SÇO GABRIEL-MT;$18.65;30/04/2026;DOLAR US$;SOJA;1
DOURADOS-MS;$19.11;30/04/2026;DOLAR US$;SOJA;1
CRUZ ALTA-RS;$20.27;30/04/2026;DOLAR US$;SOJA;1
SANTA MARIA-RS;$20.51;30/04/2026;DOLAR US$;SOJA;1
VILHENA-RO;$17.41;30/04/2026;DOLAR US$;SOJA;1
CAMPO MOURAO-PR;$19.96;30/04/2026;DOLAR US$;SOJA;1
CASCAVEL-PR;$20.04;30/04/2026;DOLAR US$;SOJA;1
LUIS EDUARDO MAGALHAES-BA;$18.57;30/04/2026;DOLAR US$;SOJA;1
BARREIRAS-BA;$18.57;30/04/2026;DOLAR US$;SOJA;1
PARAGOMINAS-PA;$18.49;30/04/2026;DOLAR US$;SOJA;1
TAIL¶NDIA-PA;$18.80;30/04/2026;DOLAR US$;SOJA;1
DOM ELISEU-PA;$18.34;30/04/2026;DOLAR US$;SOJA;1
RONDON DO PARµ-PA;$18.18;30/04/2026;DOLAR US$;SOJA;1
AAIL¶NDIA-MA;$18.03;30/04/2026;DOLAR US$;SOJA;1
SELECIONE A PRAA DESEJADA;$-;30/05/2026;DOLAR US$;SOJA;1
AGUA BOA-MT;$14.93;30/05/2026;DOLAR US$;SOJA;1
RONDONOPOLIS-MT;$15.46;30/05/2026;DOLAR US$;SOJA;1
CAMPO NOVO PARECIS-MT;$14.79;30/05/2026;DOLAR US$;SOJA;1
SORRISO-MT;$14.79;30/05/2026;DOLAR US$;SOJA;1
JUARA-MT;$14.71;30/05/2026;DOLAR US$;SOJA;1
BRASNORTE-MT;$14.73;30/05/2026;DOLAR US$;SOJA;1
SINOP-MT;$14.75;30/05/2026;DOLAR US$;SOJA;1
QUERENCIA-MT;$14.93;30/05/2026;DOLAR US$;SOJA;1
PRIMAVERA DO LESTE-MT;$15.33;30/05/2026;DOLAR US$;SOJA;1
NOVA MUTUM-MT;$14.99;30/05/2026;DOLAR US$;SOJA;1
CANARANA-MT;$14.73;30/05/2026;DOLAR US$;SOJA;1
SÇO GABRIEL-MT;$16.46;30/05/2026;DOLAR US$;SOJA;1
DOURADOS-MS;$16.85;30/05/2026;DOLAR US$;SOJA;1
CRUZ ALTA-RS;$17.73;30/05/2026;DOLAR US$;SOJA;1
SANTA MARIA-RS;$17.87;30/05/2026;DOLAR US$;SOJA;1
VILHENA-RO;$15.18;30/05/2026;DOLAR US$;SOJA;1
CAMPO MOURAO-PR;$17.47;30/05/2026;DOLAR US$;SOJA;1
CASCAVEL-PR;$17.53;30/05/2026;DOLAR US$;SOJA;1
LUIS EDUARDO MAGALHAES-BA;$16.26;30/05/2026;DOLAR US$;SOJA;1
BARREIRAS-BA;$16.26;30/05/2026;DOLAR US$;SOJA;1
PARAGOMINAS-PA;$16.19;30/05/2026;DOLAR US$;SOJA;1
TAIL¶NDIA-PA;$16.46;30/05/2026;DOLAR US$;SOJA;1
DOM ELISEU-PA;$16.06;30/05/2026;DOLAR US$;SOJA;1
RONDON DO PARµ-PA;$15.92;30/05/2026;DOLAR US$;SOJA;1
AAIL¶NDIA-MA;$15.79;30/05/2026;DOLAR US$;SOJA;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
;nan;;;;1
