moeda,preco,Cidade,cultura,vencimento
Dólar,17.09,"CAMPO NOVO PARECIS-MT",Soja,30/05/2025
Dólar,16.92,SORRISO-MT,Soja,30/05/2025
Dólar,16.71,JUARA-MT,Soja,30/05/2025
Dólar,16.73,BRASNORTE-MT,Soja,30/05/2025
Dólar,16.74,SINOP-MT,Soja,30/05/2025
Dólar,16.78,QUERENCIA-MT,Soja,30/05/2025
Dólar,17.78,"PRIMAVERA DO LESTE-MT",Soja,30/05/2025
Dólar,17.58,"NOVA MUTUM-MT",Soja,30/05/2025
Dólar,17.17,CANARANA-MT,Soja,30/05/2025
Dólar,18.19,"SÃO GABRIEL-MT",Soja,30/05/2025
Dólar,18.42,DOURADOS-MS,Soja,30/05/2025
Dólar,19.68,"CRUZ ALTA-RS",Soja,30/05/2025
Dólar,19.81,"SANTA MARIA-RS",Soja,30/05/2025
Dólar,17.64,VILHENA-RO,Soja,30/05/2025
Dólar,19.53,"CAMPO MOURAO-PR",Soja,30/05/2025
Dólar,19.61,CASCAVEL-PR,Soja,30/05/2025
Dólar,17.49,"LUIS EDUARDO MAGALHAES-BA",Soja,30/05/2025
Dólar,17.49,BARREIRAS-BA,Soja,30/05/2025
Dólar,17.72,PARAGOMINAS-PA,Soja,30/05/2025
Dólar,17.88,TAILÂNDIA-PA,Soja,30/05/2025
Dólar,17.49,"DOM ELISEU-PA",Soja,30/05/2025
Dólar,17.41,"RONDON DO PARÁ-PA",Soja,30/05/2025
Dólar,17.26,AÇAILÂNDIA-MA,Soja,30/05/2025
Dólar,18.34,"AGUA BOA-MT",Soja,30/06/2025
Dólar,19.04,RONDONOPOLIS-MT,Soja,30/06/2025
Dólar,17.93,"CAMPO NOVO PARECIS-MT",Soja,30/06/2025
Dólar,17.90,SORRISO-MT,Soja,30/06/2025
Dólar,17.79,JUARA-MT,Soja,30/06/2025
Dólar,17.81,BRASNORTE-MT,Soja,30/06/2025
Dólar,17.84,SINOP-MT,Soja,30/06/2025
Dólar,17.91,QUERENCIA-MT,Soja,30/06/2025
Dólar,18.75,"PRIMAVERA DO LESTE-MT",Soja,30/06/2025
Dólar,18.16,"NOVA MUTUM-MT",Soja,30/06/2025
Dólar,17.67,CANARANA-MT,Soja,30/06/2025
Dólar,18.50,"SÃO GABRIEL-MT",Soja,30/06/2025
Dólar,18.96,DOURADOS-MS,Soja,30/06/2025
Dólar,20.23,"CRUZ ALTA-RS",Soja,30/06/2025
Dólar,20.35,"SANTA MARIA-RS",Soja,30/06/2025
Dólar,17.95,VILHENA-RO,Soja,30/06/2025
Dólar,19.53,"CAMPO MOURAO-PR",Soja,30/06/2025
Dólar,20.35,CASCAVEL-PR,Soja,30/06/2025
Dólar,18.11,"LUIS EDUARDO MAGALHAES-BA",Soja,30/06/2025
Dólar,18.11,BARREIRAS-BA,Soja,30/06/2025
Dólar,17.88,PARAGOMINAS-PA,Soja,30/06/2025
Dólar,18.03,TAILÂNDIA-PA,Soja,30/06/2025
Dólar,17.64,"DOM ELISEU-PA",Soja,30/06/2025
Dólar,17.57,"RONDON DO PARÁ-PA",Soja,30/06/2025
Dólar,17.41,AÇAILÂNDIA-MA,Soja,30/06/2025
Dólar,17.04,"AGUA BOA-MT",Soja,30/04/2026
Dólar,17.65,RONDONOPOLIS-MT,Soja,30/04/2026
Dólar,16.89,"CAMPO NOVO PARECIS-MT",Soja,30/04/2026
Dólar,16.87,SORRISO-MT,Soja,30/04/2026
Dólar,16.64,JUARA-MT,Soja,30/04/2026
Dólar,16.66,BRASNORTE-MT,Soja,30/04/2026
Dólar,16.86,SINOP-MT,Soja,30/04/2026
Dólar,17.04,QUERENCIA-MT,Soja,30/04/2026
Dólar,17.50,"PRIMAVERA DO LESTE-MT",Soja,30/04/2026
Dólar,17.12,"NOVA MUTUM-MT",Soja,30/04/2026
Dólar,16.89,CANARANA-MT,Soja,30/04/2026
Dólar,18.65,"SÃO GABRIEL-MT",Soja,30/04/2026
Dólar,19.11,DOURADOS-MS,Soja,30/04/2026
Dólar,20.27,"CRUZ ALTA-RS",Soja,30/04/2026
Dólar,20.51,"SANTA MARIA-RS",Soja,30/04/2026
Dólar,17.41,VILHENA-RO,Soja,30/04/2026
Dólar,19.96,"CAMPO MOURAO-PR",Soja,30/04/2026
Dólar,20.04,CASCAVEL-PR,Soja,30/04/2026
Dólar,18.57,"LUIS EDUARDO MAGALHAES-BA",Soja,30/04/2026
Dólar,18.57,BARREIRAS-BA,Soja,30/04/2026
Dólar,18.49,PARAGOMINAS-PA,Soja,30/04/2026
Dólar,18.80,TAILÂNDIA-PA,Soja,30/04/2026
Dólar,18.34,"DOM ELISEU-PA",Soja,30/04/2026
Dólar,18.18,"RONDON DO PARÁ-PA",Soja,30/04/2026
Dólar,18.03,AÇAILÂNDIA-MA,Soja,30/04/2026
Dólar,14.93,"AGUA BOA-MT",Soja,30/05/2026
Dólar,15.46,RONDONOPOLIS-MT,Soja,30/05/2026
Dólar,14.79,"CAMPO NOVO PARECIS-MT",Soja,30/05/2026
